Date,rt,rv_20,rv_5,mom_21,vix,rates,state,state_0_prob,state_1_prob,regime
2010-02-03,0.00548284913925786,0.20413358087280736,0.2694371359615666,-0.05450312562152149,21.600000381469727,3.703000068664551,0,1.0,9.63344870449313e-39,Turbulent
2010-02-04,-0.029362535199533236,0.22478137284685853,0.2871561155734132,-0.08186168692712603,26.079999923706055,3.609999895095825,0,0.9999999572210081,4.278064651754202e-08,Turbulent
2010-02-05,0.00841156153603217,0.2285529304517806,0.2702083914217582,-0.06848693850428189,26.110000610351562,3.5460000038146973,0,0.9999996258303118,3.7417088649652225e-07,Turbulent
2010-02-08,-0.007239046604176518,0.22453666926843516,0.2582005755750798,-0.0758069078304272,26.510000228881836,3.5920000076293945,0,0.9999990280416745,9.719582292959905e-07,Turbulent
2010-02-09,0.01025899312922331,0.23045721369190625,0.26200558849459926,-0.07389875597325524,26.0,3.632999897003174,0,0.9999997763807437,2.2362032359158766e-07,Turbulent
2010-02-10,-0.002089556660697806,0.22804681675388877,0.25284421946076413,-0.07204466657746467,25.399999618530273,3.694000005722046,0,0.999996784784965,3.215214967097521e-06,Turbulent
2010-02-11,0.014996098213668934,0.23058380876640233,0.1461804684173121,-0.046090076915106915,23.959999084472656,3.7330000400543213,0,0.9999993304920703,6.695080597489286e-07,Turbulent
2010-02-12,0.002058487235380323,0.23088691339181747,0.14340872757230166,-0.05587958951159022,22.729999542236328,3.693000078201294,0,0.9999878404644591,1.2159537141527409e-05,Turbulent
2010-02-16,0.01271604652813018,0.23479831376511895,0.1157156892345176,-0.04462172304747414,22.25,3.6640000343322754,0,0.9999888375245979,1.1162474774683802e-05,Turbulent
2010-02-17,0.005625451201416103,0.22718067141761167,0.11363452891159458,-0.027916959997078106,21.719999313354492,3.742000102996826,0,0.9986249619736604,0.0013750380260462046,Turbulent
2010-02-18,0.006262384281260912,0.2242374540996056,0.08496782938813364,-0.037347075518505246,20.6299991607666,3.802999973297119,0,0.9889024625713714,0.01109753742892277,Turbulent
2010-02-19,-0.000446105711377441,0.22212184598548865,0.0791893276155527,-0.023736610101467548,20.020000457763672,3.7820000648498535,0,0.8296633209944694,0.17033667900380828,Turbulent
2010-02-22,-0.002009697160949194,0.1942737701446211,0.09347490965453223,-0.016487086370079118,19.940000534057617,3.7990000247955322,1,0.24615662265861504,0.7538433773401679,Calm
2010-02-23,-0.013048591369822685,0.1998833477689045,0.1236661067859777,0.0,21.3700008392334,3.690999984741211,1,0.08850341753386254,0.9114965824654443,Calm
2010-02-24,0.010138535549475094,0.20320146988684779,0.14117388213953785,0.006770538846206486,20.270000457763672,3.694999933242798,1,0.017381230767054424,0.9826187692341319,Calm
2010-02-25,-0.00022447379711587316,0.20122444942026252,0.13068624312832866,0.005636697196923057,20.100000381469727,3.6419999599456787,1,0.0016217314313094907,0.9983782685685163,Calm
2010-02-26,0.0035818263889849117,0.1765133518858803,0.1350467654306618,0.0013428033068738632,19.5,3.5950000286102295,1,6.537433839101082e-05,0.9999346256605814,Calm
