Date,regime,holding,strategy_return,qqq_return,tqqq_return,year_month
2013-03-15,TQQQ,QQQ,4.629745378423136,-0.0027838298828392494,-0.009482401797454246,2013-03
2013-03-18,Calm,TQQQ,-4.646104572892648,-0.002192212886779577,-0.006876792672057938,2013-03
2013-03-19,TQQQ,QQQ,4.642009023502101,-0.0019033365037673393,-0.004047260584157329,2013-03
2013-03-20,QQQ,QQQ,0.007010715052255321,0.007010715052255321,0.01891464480383494,2013-03
2013-03-21,Calm,TQQQ,-4.666676553442563,-0.011417198663225494,-0.03252419910788419,2013-03
2013-03-22,TQQQ,QQQ,4.664928276196326,0.009668921416988675,0.027204637929040498,2013-03
2013-03-25,Calm,TQQQ,-4.6479435912095965,-0.0036514288720137047,-0.01021995294231038,2013-03
2013-03-26,TQQQ,QQQ,4.649691868455833,0.005399706118250523,0.015208415427934713,2013-03
2013-03-27,QQQ,QQQ,0.001308835242849382,0.001308835242849382,0.00529296321328151,2013-03
2013-03-28,Calm,TQQQ,-4.624740922265986,0.002467949078802113,0.005758402791480164,2013-03
2013-04-01,Calm,TQQQ,-0.019547208848540075,-0.0068379068213719795,-0.019547208848540075,2013-04
2013-04-02,TQQQ,QQQ,4.647770313683429,0.007852140311472631,0.022332644974669743,2013-04
2013-04-03,QQQ,QQQ,-0.009166897347190936,-0.009166897347190936,-0.02685884870734951,2013-04
2013-04-04,Calm,TQQQ,-4.642626254271021,0.00029258617161153277,0.0005033657978968204,2013-04
2013-04-05,TQQQ,QQQ,4.634553870299382,-0.008364970143250576,-0.0248263041612714,2013-04
2013-04-08,Calm,TQQQ,-4.644172687380723,0.005291179045208334,0.015207487079929607,2013-04
2013-04-09,TQQQ,QQQ,4.656183921073684,0.006720054647752323,0.019479477642912715,2013-04
2013-04-10,QQQ,QQQ,0.01932259430061122,0.01932259430061122,0.056891157242252986,2013-04
2013-04-11,Calm,TQQQ,-4.600865912903347,-0.000427882589829252,-0.0017300324142171361,2013-04
2013-04-12,TQQQ,QQQ,4.5997231719418465,-0.0007148583716710814,-0.0011022928909623676,2013-04
2013-04-15,Calm,TQQQ,-4.663568542585346,-0.019928276981041763,-0.06274307775253693,2013-04
2013-04-16,TQQQ,QQQ,4.656825546757969,0.013185281153664866,0.040921530836520115,2013-04
2013-04-17,QQQ,QQQ,-0.01977057024996745,-0.01977057024996745,-0.06023117297010297,2013-04
2013-04-18,Calm,TQQQ,-4.700600111732126,-0.013897501726677522,-0.044235493090541235,2013-04
2013-04-19,TQQQ,QQQ,4.700305963828654,0.013603353823205993,0.04063656655444795,2013-04
2013-04-22,Calm,TQQQ,-4.629407598996118,0.01022869233750822,0.03026179827808828,2013-04
2013-04-23,TQQQ,QQQ,4.649184539001202,0.009548247667575302,0.02904878940523442,2013-04
