date,fold,regime,holding,strategy_return,transaction_cost,qqq_return,tqqq_return,circuit_breaker,strategy_daily_ret,qqq_daily_ret,tqqq_daily_ret,strategy_cumret,qqq_cumret,tqqq_cumret,year,month
2016-06-22,54,Calm,TQQQ,-0.006484259766283862,0.0,-0.0024188124637914976,-0.006484259766283862,False,-0.006484259766283862,-0.0024188124637914976,-0.006484259766283862,3.7027240852527568,1.19777754454506,6.422671305797061,2016,6
2016-06-23,54,Calm,TQQQ,0.04216318216251258,0.0,0.01426730291625189,0.04216318216251258,False,0.04216318216251258,0.01426730291625189,0.04216318216251258,3.901005897519304,1.2291339025156205,6.735634748195837,2016,6
2016-06-24,54,Calm,TQQQ,-0.1224652876007074,0.0,-0.04118762640386742,-0.1224652876007074,False,-0.1224652876007074,-0.04118762640386742,-0.1224652876007074,3.3008028007468395,1.137321168134612,5.788288013984008,2016,6
2016-06-27,54,Calm,TQQQ,-0.05822424284902228,0.0,-0.01984876705822991,-0.05822424284902228,False,-0.05822424284902228,-0.01984876705822991,-0.05822424284902228,3.0503918140304007,1.0948979781396844,5.393045084128696,2016,6
2016-06-28,54,Calm,TQQQ,0.06266570825156115,0.0,0.0219132150074286,0.06266570825156115,False,0.06266570825156115,0.0219132150074286,0.06266570825156115,3.3042124857529416,1.1408039279532867,5.793669782209782,2016,6
2016-06-29,54,Calm,TQQQ,0.05195227937623614,0.0,0.017710333163169834,0.05195227937623614,False,0.05195227937623614,0.017710333163169834,0.05195227937623614,3.5278261353074623,1.1787182787543622,6.146616412725038,2016,6
2016-06-30,54,Calm,TQQQ,0.03636787994447399,0.0,0.011570133941861682,0.03636787994447399,False,0.03636787994447399,0.011570133941861682,0.03636787994447399,3.692493572605776,1.2039263410611327,6.4065237004322295,2016,6
2016-07-01,54,Calm,TQQQ,0.01370430657876165,0.0,0.005021492220016244,0.01370430657876165,False,0.01370430657876165,0.005021492220016244,0.01370430657876165,3.7568009431436344,1.2149933400362602,6.508024971905817,2016,7
2016-07-05,54,Calm,TQQQ,-0.01771842179000005,0.0,-0.006106722935146358,-0.01771842179000005,False,-0.01771842179000005,-0.006106722935146358,-0.01771842179000005,3.6725179376619455,1.2014669894054646,6.374994618643736,2016,7
2016-07-06,54,Calm,TQQQ,0.023563424713276326,0.0,0.008192274951512202,0.023563424713276326,False,0.023563424713276326,0.008192274951512202,0.023563424713276326,3.782618462307476,1.219502012279352,6.548774749100966,2016,7
2016-07-07,55,Turbulent,QQQ,-0.001,0.001,0.0,0.0,False,-0.001,0.0,0.0,3.7778358438451685,1.219502012279352,6.548774749100966,2016,7
